studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
NA,,previous search (2014); no fitness data,search1,156,"Iler, Amy M.; Inouye, David W.; Hoye, Toke T.; Miller-Rushing, Abraham J.; Burkle, Laura A. & Johnston, Eleanor B.",Maintenance of temporal synchrony between syrphid flies and floral resources despite differential phenological responses to climate,{2013},{GLOBAL CHANGE BIOLOGY},{19},{8},{AUG},{2348-2359},ISI:000328744900004,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,157,"Jahnke, Marlene; Pages, Jordi F.; Alcoverro, Teresa; Lavery, Paul S.; McMahon, Kathryn M. & Procaccini, Gabriele",Should we sync? Seascape-level genetic and ecological factors determine seagrass flowering patterns,{2015},{JOURNAL OF ECOLOGY},{103},{6},{NOV},{1464-1474},ISI:000363339300010,,,,,,,,,,,,,,,,,,,
NA,,within-season,search1,158,"Jakubas, Dariusz; Wojczulanis-Jakubas, Katarzyna; Boehnke, Rafal; Kidawa, Dorota; Blachowiak-Samolyk, Katarzyna & Stempniewicz, Lech","Intra-seasonal variation in zooplankton availability, chick diet and breeding performance of a high Arctic planktivorous seabird",{2016},{POLAR BIOLOGY},{39},{9},{SEP},{1547-1561},ISI:000384551500004,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,159,"Jauker, Frank; Peter, Franziska; Wolters, Volkmar & Diekoetter, Tim",Early reproductive benefits of mass-flowering crops to the solitary bee Osmia rufa outbalance post-flowering disadvantages,{2012},{BASIC AND APPLIED ECOLOGY},{13},{3},,{268-276},ISI:000306983500007,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,160,"Jepsen, Jane U.; Hagen, Snorre B.; Karlsen, Stein-Rune & Ims, Rolf A.",Phase-dependent outbreak dynamics of geometrid moth linked to host plant phenology,{2009},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{276},{1676},{DEC 7},{4119-4128},ISI:000271055400005,,,,,,,,,,,,,,,,,,,
NA,,only three years; no fitness; good for monarch-milkweed,search1,161,"Jepsen, Jane U.; Kapari, Lauri; Hagen, Snorre B.; Schott, Tino; Vindstad, Ole Petter L.; Nilssen, Arne C. & Ims, Rolf A.",Rapid northwards expansion of a forest insect pest attributed to spring phenology matching with sub-Arctic birch,{2011},{GLOBAL CHANGE BIOLOGY},{17},{6},{JUN},{2071-2083},ISI:000289641400006,,,,,,,,,,,,,,,,,,,
NA,,no species or genus level data,search1,162,"Ji, Rubao; Jin, Meibing & Varpe, Oystein",Sea ice phenology and timing of primary production pulses in the Arctic Ocean,{2013},{GLOBAL CHANGE BIOLOGY},{19},{3},{MAR},{734-741},ISI:000314219700006,,,,,,,,,,,,,,,,,,,
NA,,theoretical,search1,163,"Johansson, Jacob & Jonzen, Niclas",Game theory sheds new light on ecological responses to current climate change when phenology is historically mismatched,{2012},{ECOLOGY LETTERS},{15},{8},{AUG},{881-888},ISI:000305943000014,,,,,,,,,,,,,,,,,,,
NA,,model,search1,164,"Johansson, Jacob; Kristensen, Nadiah P.; Nilsson, Jan-Ake & Jonzen, Niclas",The eco-evolutionary consequences of interspecific phenological asynchrony - a theoretical perspective,{2015},{OIKOS},{124},{1},{JAN},{102-112},ISI:000347052300012,,,,,,,,,,,,,,,,,,,
HMK012,,table 5,search1,165,"Jolley, Jeffrey C.; Willis, David W. & Holland, Richard S.",Match-Mismatch Regulation for Bluegill and Yellow Perch Larvae and Their Prey in Sandhill Lakes,{2010},{JOURNAL OF FISH AND WILDLIFE MANAGEMENT},{1},{2},{NOV},{73-85},ISI:000208546600003,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,166,"Jones, Tim & Cresswell, Will",The phenology mismatch hypothesis: are declines of migrant birds linked to uneven global climate change?,{2010},{JOURNAL OF ANIMAL ECOLOGY},{79},{1},{JAN},{98-108},ISI:000272656600012,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); theoretical model,search1,167,"Jonzen, Niclas; Hedenstrom, Anders & Lundberg, Per",Climate change and the optimal arrival of migratory birds,{2007},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{274},{1607},{JAN 22},{269-274},ISI:000242765400014,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,168,"Kahlert, B. R.; Ryser, P. & Edwards, P. J.",Leaf phenology of three dominant limestone grassland plants matching the disturbance regime,{2005},{JOURNAL OF VEGETATION SCIENCE},{16},{4},{AUG},{433-442},ISI:000232457000009,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,169,"Kahru, M.; Brotas, V.; Manzano-Sarabia, M. & Mitchell, B. G.",Are phytoplankton blooms occurring earlier in the Arctic?,{2011},{GLOBAL CHANGE BIOLOGY},{17},{4},{APR},{1733-1739},ISI:000287853000020,,,,,,,,,,,,,,,,,,,
HMK005,,previous search (2014); yes fitness,search1,170,"Kaitaniemi, P.; Ruohomaki, K. & Haukioja, E.","Consequences of defoliation on phenological interaction between Epirrita autumnata and its host plant, Mountain Birch",{1997},{FUNCTIONAL ECOLOGY},{11},{2},{APR},{199-208},ISI:A1997XB54900008,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,171,"Kaloveloni, Aggeliki; Tscheulin, Thomas; Vujic, Ante; Radenkovic, Snezana & Petanidou, Theodora",Winners and losers of climate change for the genus Merodon (Diptera: Syrphidae) across the Balkan Peninsula,{2015},{ECOLOGICAL MODELLING},{313},,{OCT 10},{201-211},ISI:000361865000017,,,,,,,,,,,,,,,,,,,
NA,,only three years but 5 sites,search1,172,"Kellermann, Jherime L. & van Riper, III, Charles",Detecting mismatches of bird migration stopover and tree phenology in response to changing climate,{2015},{OECOLOGIA},{178},{4},{AUG},{1227-1238},ISI:000358089400022,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,173,"Kennedy, R. J. & Crozier, W. W.","Evidence of changing migratory patterns of wild Atlantic salmon Salmo salar smolts in the River Bush, Northern Ireland, and possible associations with climate change",{2010},{JOURNAL OF FISH BIOLOGY},{76},{7},{MAY},{1786-1805},ISI:000277413300017,,,,,,,,,,,,,,,,,,,
HMK018,,,search1,174,"Kerby, Jeffrey & Post, Eric",Capital and income breeding traits differentiate trophic match-mismatch dynamics in large herbivores,{2013},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{368},{1624},{AUG 19},,ISI:000321565600006,,,,,,,,,,,,,,,,,,,
HMK030,,previous search (2014); yes fitness,search1,175,"Kerby, Jeffrey T. & Post, Eric",Advancing plant phenology and reduced herbivore production in a terrestrial system associated with sea ice decline,{2013},{NATURE COMMUNICATIONS},{4},,{OCT},,ISI:000326467500002,,,,,,,,,,,,,,,,,,,
NA,,"previous search (2014);Does not include any variation in consumer or resource phenology, only a trajectory over one season",search1,176,"Kerstes, Niels A. G. & de Jong, Peter W.",Detection of refuge from enemies through phenological mismatching in multitrophic interactions requires season-wide estimation of host abundance,{2011},{EVOLUTIONARY ECOLOGY},{25},{2},{MAR},{485-498},ISI:000287583700018,,,,,,,,,,,,,,,,,,,
HMK015,,,search1,177,"Kharouba, Heather M.; Vellend, Mark; Sarfraz, Rana M. & Myers, Judith H.",The effects of experimental warming on the timing of a plant-insect herbivore interaction,{2015},{JOURNAL OF ANIMAL ECOLOGY},{84},{3},{MAY},{785-796},ISI:000353405300021,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,178,"Kinzner, Martin-Carl; Tratter, Magdalena; Bachli, Gerhard; Kirchmair, Martin; Kaufmann, Ruediger; Arthofer, Wolfgang; Schlick-Steiner, Birgit C. & Steiner, Florian M.",Oviposition Substrate of the Mountain Fly Drosophila nigrosparsa (Diptera: Drosophilidae),{2016},{PLoS One},{11},{10},{OCT 27},,ISI:000389604900121,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,179,"Klaus, Samantha P. & Lougheed, Stephen C.",Changes in breeding phenology of eastern Ontario frogs over four decades,{2013},{ECOLOGY AND EVOLUTION},{3},{4},{APR},{835-845},ISI:000317599300008,,,,,,,,,,,,,,,,,,,
,,model,search1,180,"Knell, Robert J. & Thackeray, Stephen J.",Voltinism and resilience to climate-induced phenological mismatch,{2016},{CLIMATIC CHANGE},{137},{3-4},{AUG},{525-539},ISI:000380089400016,,,,,,,,,,,,,,,,,,,
,,review,search1,181,"Knudsen, Endre; Linden, Andreas; Both, Christiaan; Jonzen, Niclas; Pulido, Francisco; Saino, Nicola; Sutherland, William J.; Bach, Lars A.; Coppack, Timothy; Ergon, Torbjorn; Gienapp, Phillip; Gill, Jennifer A.; Gordo, Oscar; Hedenstrom, Anders; Lehikoinen, Esa; Marra, Peter P.; Moller, Anders P.; Nilsson, Anna L. K.; Peron, Guillaume; Ranta, Esa; Rubolini, Diego; Sparks, Tim H.; Spina, Fernando; Studds, Colin E.; Saether, Stein A.; Tryjanowski, Piotr & Stenseth, Nils Chr.",Challenging claims in the study of migratory birds and climate change,{2011},{BIOLOGICAL REVIEWS},{86},{4},{NOV},{928-946},ISI:000296475300010,,,,,,,,,,,,,,,,,,,
,,no fitness,search1,182,"Koeller, P.; Fuentes-Yaco, C.; Platt, T.; Sathyendranath, S.; Richards, A.; Ouellet, P.; Orr, D.; Skuladottir, U.; Wieland, K.; Savard, L. & Aschan, M.",Basin-Scale Coherence in Phenology of Shrimps and Phytoplankton in the North Atlantic Ocean,{2009},{SCIENCE},{324},{5928},{MAY 8},{791-793},ISI:000265832400048,,,,,,,,,,,,,,,,,,,
,,no fitness data,search1,183,"van der Kolk, Henk-Jan; WallisDeVries, Michiel F. & van Vliet, Arnold J. H.",Using a phenological network to assess weather influences on first appearance of butterflies in the Netherlands,{2016},{ECOLOGICAL INDICATORS},{69},,{OCT},{205-212},ISI:000388785100020,,,,,,,,,,,,,,,,,,,
,,fitness data! BUT onset of spring determined by GDD,search1,184,"Kourkgy, Charlotte; Garel, Mathieu; Appolinaire, Joel; Loison, Anne & Toigo, Carole",Onset of autumn shapes the timing of birth in Pyrenean chamois more than onset of spring,{2016},{JOURNAL OF ANIMAL ECOLOGY},{85},{2},{MAR},{581-590},ISI:000370959300027,,,,,,,,,,,,,,,,,,,
,,review,search1,185,"Kreyling, Juergen",Winter climate change: a critical factor for temperate vegetation performance,{2010},{ECOLOGY},{91},{7},{JUL},{1939-1948},ISI:000279563700009,,,,,,,,,,,,,,,,,,,
check later,experiment,Only moth larvae fed with leaves of different age,search1,186,"Kruse, J. J. & Raffa, K. F.",Effects of hybrid poplar (Salicaceae) clone and phenology on gypsy moth (Lepidoptera: Lymantriidae) performance in Wisconsin,{1996},{GREAT LAKES ENTOMOLOGIST},{29},{3},{FAL},{121-127},ISI:A1996WU92000003,,,,,,,,,,,,,,,,,,,
,,only two years of data,search1,187,"Kudo, Gaku",Vulnerability of phenological synchrony between plants and pollinators in an alpine ecosystem,{2014},{ECOLOGICAL RESEARCH},{29},{4},{JUL},{571-581},ISI:000339721800007,,,,,,,,,,,,,,,,,,,
HMK023,,previous search (2014); yes fitness,search1,188,"Kudo, Gaku & Ida, Takashi Y.",Early onset of spring increases the phenological mismatch between plants and pollinators,{2013},{ECOLOGY},{94},{10},{OCT},{2311-2320},ISI:000325692900022,,,,,,,,,,,,,,,,,,,
,,A comparison of caterpillar growth rates on 11 species of Inga with different degrees of synchrony of leaf flushing,search1,189,"Kursar, Thomas A.; Wolfe, Brett T.; Epps, Mary Jane & Coley, Phyllis D.","Food quality, competition, and parasitism influence feeding preference in a neotropical Lepidopteran",{2006},{ECOLOGY},{87},{12},{DEC},{3058-3069},ISI:000243094300014,,,,,,,,,,,,,,,,,,,
,,used indices of plant phenology- canopy greenness from EVI- a vegetation index,search1,190,"La Sorte, Frank A.; Fink, Daniel; Hochachka, Wesley M.; DeLong, John P. & Kelling, Steve",Spring phenology of ecological productivity contributes to the use of looped migration strategies by birds,{2014},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{281},{1793},{OCT 22},,ISI:000341560300003,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,191,"Lameris, Thomas K.; Jochems, Femke; van der Graaf, Alexandra J.; Andersson, Mattias; Limpens, Juul & Nolet, Bart A.","Forage plants of an Arctic-nesting herbivore show larger warming response in breeding than wintering grounds, potentially disrupting migration phenology",{2017},{ECOLOGY AND EVOLUTION},{7},{8},{APR},{2652-2660},ISI:000399737500018,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,192,"Land, P. E.; Shutler, J. D.; Platt, T. & Racault, M. F.",A novel method to retrieve oceanic phytoplankton phenology from satellite data in the presence of data gaps,{2014},{ECOLOGICAL INDICATORS},{37},{A},{FEB},{67-80},ISI:000329385300008,,,,,,,,,,,,,,,,,,,
HMK042,,,search1,193,"Lany, Nina K.; Ayres, Matthew P.; Stange, Erik E.; Sillett, T. Scott; Rodenhouse, Nicholas L. & Holmes, Richard T.",Breeding timed to maximize reproductive success for a migratory songbird: the importance of phenological asynchrony,{2016},{OIKOS},{125},{5},{MAY},{656-666},ISI:000375087800007,,,,,,,,,,,,,,,,,,,
,,review,search1,194,"Larsen, Stefano; Muehlbauer, Jeffrey D. & Marti, Eugenia",Resource subsidies between stream and terrestrial ecosystems under global change,{2016},{GLOBAL CHANGE BIOLOGY},{22},{7},{JUL},{2489-2504},ISI:000378722000017,,,,,,,,,,,,,,,,,,,
,,used NDVI for plant phenology,search1,195,"Le Corre, Mael; Dussault, Christian & Cote, Steeve D.",Weather conditions and variation in timing of spring and fall migrations of migratory caribou,{2017},{JOURNAL OF MAMMALOGY},{98},{1},{FEB},{260-271},ISI:000397232500026,,,,,,,,,,,,,,,,,,,
,,only three years,search1,196,"Lee, Derek Edward; Bond, Monica Louise & Bolger, Douglas Thomas",Season of birth affects juvenile survival of giraffe,{2017},{POPULATION ECOLOGY},{59},{1},{JAN},{45-54},ISI:000398944200005,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,197,"Leu, Stephan T.; Farine, Damien R.; Wey, Tina W.; Sih, Andrew & Bull, C. Michael",Environment modulates population social structure: experimental evidence from replicated social networks of wild lizards,{2016},{ANIMAL BEHAVIOUR},{111},,{JAN},{23-31},ISI:000367374000005,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,198,"Levi, Taal; Keesing, Felicia; Oggenfuss, Kelly & Ostfeld, Richard S.",Accelerated phenology of blacklegged ticks under climate warming,{2015},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{370},{1665},{APR 5},,ISI:000350829800005,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,199,"Liang, Liang; Schwartz, Mark D. & Fei, Songlin",Validating satellite phenology through intensive ground observation and landscape scaling in a mixed seasonal forest,{2011},{REMOTE SENSING OF ENVIRONMENT},{115},{1},{JAN 17},{143-157},ISI:000284663500013,,,,,,,,,,,,,,,,,,,
,,used NDVI for plant phenology,search1,200,"Liebezeit, J. R.; Gurney, K. E. B.; Budde, M.; Zack, S. & Ward, D.",Phenological advancement in arctic bird species: relative importance of snow melt and ecological factors,{2014},{POLAR BIOLOGY},{37},{9},{SEP},{1309-1320},ISI:000339893400008,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,201,"Linhart, Yan B.; Moreira, Xoaquin; Snyder, Marc A. & Mooney, Kailen A.",Variability in seed cone production and functional response of seed predators to seed cone availability: support for the predator satiation hypothesis,{2014},{JOURNAL OF ECOLOGY},{102},{3},{MAY},{576-583},ISI:000334588300003,,,,,,,,,,,,,,,,,,,
,,only two years of data,search1,202,"Liu, Lin; Monaco, Thomas A.; Sun, Feida; Liu, Wei; Gan, Youmin & Sun, Geng",Altered precipitation patterns and simulated nitrogen deposition effects on phenology of common plant species in a Tibetan Plateau alpine meadow,{2017},{AGRICULTURAL AND FOREST METEOROLOGY},{236},,{APR 15},{36-47},ISI:000396956700003,,,,,,,,,,,,,,,,,,,
,,spatial only,search1,203,"Liu, Min; Zhao, Rui; Chen, Yan; Zhang, Jian; Compton, Stephen G. & Chen, Xiao-Yong",Competitive Exclusion among Fig Wasps Achieved via Entrainment of Host Plant Flowering Phenology,{2014},{PLOS ONE},{9},{5},{MAY 21},,ISI:000336730600060,,,,,,,,,,,,,,,,,,,
HMK014,,*previous search (2014); may not have fitness,search1,204,"Liu, Yinzhan; Reich, Peter B.; Li, Guoyong & Sun, Shucun",Shifting phenology and abundance under experimental warming alters trophic relationships and plant reproductive capacity,{2011},{ECOLOGY},{92},{6},{JUN},{1201-1207},ISI:000292633900002,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,205,"Lorentsen, Svein-Hakon; Anker-Nilssen, Tycho; Erikstad, Kjell Einar & Rov, Nils",Forage fish abundance is a predictor of timing of breeding and hatching brood size in a coastal seabird,{2015},{MARINE ECOLOGY PROGRESS SERIES},{519},,{JAN 20},{209-220},ISI:000349093800016,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,206,"Louda, S. M.; Rand, T. A.; Kula, A. A. R.; Arnett, A. E.; West, N. M. & Tenhumberg, B.",Priority resource access mediates competitive intensity between an invasive weevil and native floral herbivores,{2011},{BIOLOGICAL INVASIONS},{13},{10},{OCT},{2233-2248},ISI:000296350800008,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,207,"Mackas, David L.; Batten, Sonia & Trudel, Marc",Effects on zooplankton of a warmer ocean: Recent evidence from the Northeast Pacific,{2007},{PROGRESS IN OCEANOGRAPHY},{75},{2},,{223-252},ISI:000251050100007,"{Symposium on Time Series of the Northeast Pacific, Victoria, CANADA, JUL, 2006}",,,,,,,,,,,,,,,,,,
good but wait,,resolution on time-series for bird not good enough- contacted authors,search1,208,"Mallord, John W.; Orsman, Christopher J.; Cristinacce, Andrew; Stowe, Tim J.; Charman, Elisabeth C. & Gregory, Richard D.",Diet flexibility in a declining long-distance migrant may allow it to escape the consequences of phenological mismatch with its caterpillar food supply,{2017},{IBIS},{159},{1},{JAN},{76-90},ISI:000390224000007,,,,,,,,,,,,,,,,,,,
HMK019,experiment,,search1,209,"Martemyanov, Vyacheslav V.; Belousova, Irina A.; Pavlushin, Sergey V.; Dubovskiy, Ivan M.; Ershov, Nikita I.; Alikina, Tatyana Y.; Kabilov, Marsel R. & Glupov, Victor V.",Phenological asynchrony between host plant and gypsy moth reduces insect gut microbiota and susceptibility to Bacillus thuringiensis,{2016},{ECOLOGY AND EVOLUTION},{6},{20},{OCT},{7298-7310},ISI:000386429200013,,,,,,,,,,,,,,,,,,,
HMK020,experiment,,search1,210,"Martemyanov, Vyacheslav V.; Pavlushin, Sergey V.; Dubovskiy, Ivan M.; Yushkova, Yuliya V.; Morosov, Sergey V.; Chernyak, Elena I.; Efimov, Vadim M.; Ruuhola, Teija & Glupov, Victor V.",Asynchrony between Host Plant and Insects-Defoliator within a Tritrophic System: The Role of Herbivore Innate Immunity,{2015},{PLOS ONE},{10},{6},{JUN 26},,ISI:000358147500117,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no relevant phenological data,search1,211,"Martin, Thomas E. & Maron, John L.",Climate impacts on bird and plant communities from altered animal-plant interactions,{2012},{NATURE CLIMATE CHANGE},{2},{3},{MAR},{195-200},ISI:000301632200022,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,212,"Martinson, Holly M.; Venugopal, P. Dilip; Bergmann, Erik J.; Shrewsbury, Paula M. & Raupp, Michael J.",Fruit availability influences the seasonal abundance of invasive stink bugs in ornamental tree nurseries,{2015},{JOURNAL OF PEST SCIENCE},{88},{3},{SEP},{461-468},ISI:000359829400002,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,213,"Maruyama, Pietro K.; Vizentin-Bugoni, Jeferson; Oliveira, Genilda M.; Oliveira, Paulo E. & Dalsgaard, Bo",Morphological and Spatio-Temporal Mismatches Shape a Neotropical Savanna Plant-Hummingbird Network,{2014},{BIOTROPICA},{46},{6},{NOV},{740-747},ISI:000344536600013,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,214,"te Marvelde, Luc; Webber, Simone L.; Meijer, Harro A. J. & Visser, Marcel E.",Energy expenditure during egg laying is equal for early and late breeding free-living female great tits,{2012},{OECOLOGIA},{168},{3},{MAR},{631-638},ISI:000301706800003,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,215,"Mastrototaro, Francesco; Chimienti, Giovanni; Matarrese, Alfonso; Gambi, Maria Cristina & Giangrande, Adriana","Growth and population dynamics of the non-indigenous species Branchiomma luctuosum Grube (Annelida, Sabellidae) in the Ionian Sea (Mediterranean Sea)",{2015},{MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE},{36},{3},{SEP},{517-529},ISI:000358729600022,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,216,"Mathews, Katherine & Collins, Beverly",Plant and Pollinator Communities of High Elevation Rock Outcrops,{2014},{NATURAL AREAS JOURNAL},{34},{3},{JUL},{300-309},ISI:000342875900006,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,217,"McGeoch, M. A. & Price, P. W.",Scale-dependent mechanisms in the population dynamics of an insect herbivore,{2005},{OECOLOGIA},{144},{2},{JUN},{278-288},ISI:000230459800011,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,218,"McKellar, Ann E.; Marra, Peter P.; Boag, Peter T. & Ratcliffe, Laurene M.","Form, function and consequences of density dependence in a long-distance migratory bird",{2014},{OIKOS},{123},{3},{MAR},{356-364},ISI:000331660800007,,,,,,,,,,,,,,,,,,,
,,no fitness data,search1,219,"McKinney, Amy M.; CaraDonna, Paul J.; Inouye, David W.; Barr, Billy; Bertelsen, C. David & Waser, Nickolas M.",Asynchronous changes in phenology of migrating Broad-tailed Hummingbirds and their early-season nectar resources,{2012},{ECOLOGY},{93},{9},{SEP},{1987-1993},ISI:000309517200001,,,,,,,,,,,,,,,,,,,
,,only two years of data,search1,220,"McKinnon, Laura; Nol, Erica & Juillet, Cedric",Arctic-nesting birds find physiological relief in the face of trophic constraints,{2013},{SCIENTIFIC REPORTS},{3},,{MAY 9},,ISI:000318572700006,,,,,,,,,,,,,,,,,,,
,,only four years- so close!,search1,221,"McKinnon, L.; Picotin, M.; Bolduc, E.; Juillet, C. & Bety, J.","Timing of breeding, peak food availability, and effects of mismatch on chick growth in birds nesting in the High Arctic",{2012},{CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE},{90},{8},{AUG},{961-971},ISI:000308779000005,,,,,,,,,,,,,,,,,,,
,,model,search1,222,"McNamara, John M.; Barta, Zoltan; Klaassen, Marcel & Bauer, Silke",Cues and the optimal timing of activities under environmental changes,{2011},{ECOLOGY LETTERS},{14},{12},{DEC},{1183-1190},ISI:000297147500001,,,,,,,,,,,,,,,,,,,
,,spatial only,search1,223,"Meineke, Emily K.; Dunn, Robert R. & Frank, Steven D.",Early pest development and loss of biological control are associated with urban warming,{2014},{BIOLOGY LETTERS},{10},{11},{NOV 1},,ISI:000345465900006,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,224,"Merrill, Richard M.; Gutierrez, David; Lewis, Owen T.; Gutierrez, Javier; Diez, Sonia B. & Wilson, Robert J.",Combined effects of climate and biotic interactions on the elevational range of a phytophagous insect,{2008},{JOURNAL OF ANIMAL ECOLOGY},{77},{1},{JAN},{145-155},ISI:000251810600018,,,,,,,,,,,,,,,,,,,
,,NDVI used for plant phenology,search1,225,"Middleton, Arthur D.; Kauffman, Matthew J.; McWhirter, Douglas E.; Cook, John G.; Cook, Rachel C.; Nelson, Abigail A.; Jimenez, Michael D. & Klaver, Robert W.",Animal migration amid shifting patterns of phenology and predation: lessons from a Yellowstone elk herd,{2013},{ECOLOGY},{94},{6},{JUN},{1245-1256},ISI:000320714800007,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,226,"Milanovic, Slobodan; Lazarevic, Jelica; Popovic, Zorica; Miletic, Zoran; Kostic, Miroslav; Radulovic, Zlatan; Karadzic, Dragan & Vuleta, Ana",Preference and performance of the larvae of Lymantria dispar (Lepidoptera: Lymantriidae) on three species of European oaks,{2014},{EUROPEAN JOURNAL OF ENTOMOLOGY},{111},{3},{JUL 14},{371-378},ISI:000343664400009,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,227,"Miles, Will T. S.; Bolton, Mark; Davis, Peter; Dennis, Roy; Broad, Roger; Robertson, Iain; Riddiford, Nick J.; Harvey, Paul V.; Riddington, Roger; Shaw, Deryk N.; Parnaby, David & Reid, Jane M.","Quantifying full phenological event distributions reveals simultaneous advances, temporal stability and delays in spring and autumn migration timing in long-distance migratory birds",{2017},{GLOBAL CHANGE BIOLOGY},{23},{4},{APR},{1400-1414},ISI:000396836800004,,,,,,,,,,,,,,,,,,,
,,review,search1,228,"Miller-Rushing, Abraham J.; Hoye, Toke Thomas; Inouye, David W. & Post, Eric",The effects of phenological mismatches on demography,{2010},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{365},{1555},{OCT 12},{3177-3186},ISI:000281611800006,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,229,"Miller-Struttmann, Nicole E.; Geib, Jennifer C.; Franklin, James D.; Kevan, Peter G.; Holdo, Ricardo M.; Ebert-May, Diane; Lynn, Austin M.; Kettenbach, Jessica A.; Hedrick, Elizabeth & Galen, Candace",Functional mismatch in a bumble bee pollination mutualism under climate change,{2015},{SCIENCE},{349},{6255},{SEP 25},{1541-1544},ISI:000361707000048,,,,,,,,,,,,,,,,,,,
,,previous search (2014); dates not given for second species and/or for multiple years,search1,230,"MINCKLEY, R. L.; WCISLO, W. T.; YANEGA, D. & BUCHMANN, S. L.",BEHAVIOR AND PHENOLOGY OF A SPECIALIST BEE (DIEUNOMIA) AND SUNFLOWER (HELIANTHUS) POLLEN AVAILABILITY,{1994},{ECOLOGY},{75},{5},{JUL},{1406-1419},ISI:A1994NV66200019,,,,,,,,,,,,,,,,,,,
,,only two years of data,search1,231,"Mjaaseth, R. R.; Hagen, S. B.; Yoccoz, N. G. & Ims, R. A.",Phenology and abundance in relation to climatic variation in a sub-arctic insect herbivore-mountain birch system,{2005},{OECOLOGIA},{145},{1},{AUG},{53-65},ISI:000231779500006,,,,,,,,,,,,,,,,,,,
,,abiotic mismatch,search1,232,"Moe, Borge; Stempniewicz, Lech; Jakubas, Dariusz; Angelier, Frederic; Chastel, Olivier; Dinessen, Frode; Gabrielsen, Geir W.; Hanssen, Frank; Karnovsky, Nina J.; Ronning, Bernt; Welcker, Jorg; Wojczulanis-Jakubas, Katarzyna & Bech, Claus",Climate change and phenological responses of two seabird species breeding in the high-Arctic,{2009},{MARINE ECOLOGY PROGRESS SERIES},{393},,,{235-246},ISI:000272187800020,,,,,,,,,,,,,,,,,,,
,,review,search1,233,"Moline, Mark A.; Karnovsky, Nina J.; Brown, Zachary; Divoky, George J.; Frazer, Thomas K.; Jacoby, Charles A.; Torrese, Joseph J. & Fraser, William R.",High latitude changes in ice dynamics and their impact on polar marine ecosystems,{2008},,{1134},,,{267-319},ISI:000257506400011,,,{YEAR IN ECOLOGY AND CONSERVATION BIOLOGY 2008},,,{Annals of the New York Academy of Sciences},"Ostfeld, RS & Schlesinger, WH",,,,,,,,,,,,
